ind,code_of_account,account_description,total_cost (M$),total_cost ($),level,prn,supaccount,alg_name,fun_unit,variables,algno
1,20,TODO,TODO,,2,TODO,C2,Account_C20,million,inputs,
2,21,TODO,TODO,,2,TODO,C2,Account_C21,million,inputs,
3,211,TODO,TODO,,3,TODO,C21,Account_C21_1,million,inputs,
4,212,TODO,TODO,,3,TODO,C21,Account_C21_2,million,inputs,
5,213,TODO,TODO,,3,TODO,C21,Account_C21_3,million,inputs,
6,214,TODO,TODO,,3,TODO,C21,Account_C21_4,million,inputs,
7,215,TODO,TODO,,3,TODO,C21,Account_C21_5,million,inputs,
8,216,TODO,TODO,,3,TODO,C21,Account_C21_6,million,inputs,
9,217,TODO,TODO,,3,TODO,C21,Account_C21_7,million,inputs,
10,218,TODO,TODO,,3,TODO,C21,Account_C21_8,million,inputs,
11,219,TODO,TODO,,3,TODO,C21,Account_C21_9,million,inputs,
12,2110,TODO,TODO,,4,TODO,C211,Account_C21_10,million,inputs,
13,2111,TODO,TODO,,4,TODO,C211,Account_C21_11,million,inputs,
14,2112,TODO,TODO,,4,TODO,C211,Account_C21_12,million,inputs,
15,2113,TODO,TODO,,4,TODO,C211,Account_C21_13,million,inputs,
16,2114,TODO,TODO,,4,TODO,C211,Account_C21_14,million,inputs,
17,2115,TODO,TODO,,4,TODO,C211,Account_C21_15,million,inputs,
18,2116,TODO,TODO,,4,TODO,C211,Account_C21_16,million,inputs,
19,2117,TODO,TODO,,4,TODO,C211,Account_C21_17,million,inputs,
20,22,TODO,TODO,,2,TODO,C2,Account_C22,million,inputs,
21,221,TODO,TODO,,3,TODO,C22,Account_C22_1,million,inputs,
22,2211,TODO,TODO,,4,TODO,C221,Account_C22_1_1,million,inputs,
23,2212,TODO,TODO,,4,TODO,C221,Account_C22_1_2,million,inputs,
24,2213,TODO,TODO,,4,TODO,C221,Account_C22_1_3,million,inputs,
25,22131,TODO,TODO,,5,TODO,C2213,Account_C22_1_3_1,million,inputs,
26,22132,TODO,TODO,,5,TODO,C2213,Account_C22_1_3_2,million,inputs,
27,22133,TODO,TODO,,5,TODO,C2213,Account_C22_1_3_3,million,inputs,
28,2214,TODO,TODO,,4,TODO,C221,Account_C22_1_4,million,inputs,
29,22141,TODO,TODO,,5,TODO,C2214,Account_C22_1_4_1,million,inputs,
30,22142,TODO,TODO,,5,TODO,C2214,Account_C22_1_4_2,million,inputs,
31,22143,TODO,TODO,,5,TODO,C2214,Account_C22_1_4_3,million,inputs,
32,2215,TODO,TODO,,4,TODO,C221,Account_C22_1_5,million,inputs,
33,2216,TODO,TODO,,4,TODO,C221,Account_C22_1_6,million,inputs,
34,22162,TODO,TODO,,5,TODO,C2216,Account_C22_1_6_2,million,inputs,
35,22163,TODO,TODO,,5,TODO,C2216,Account_C22_1_6_3,million,inputs,
36,22164,TODO,TODO,,5,TODO,C2216,Account_C22_1_6_4,million,inputs,
37,2217,TODO,TODO,,4,TODO,C221,Account_C22_1_7,million,inputs,
38,2218,TODO,TODO,,4,TODO,C221,Account_C22_1_8,million,inputs,
39,2219,TODO,TODO,,4,TODO,C221,Account_C22_1_9,million,inputs,
40,22111,TODO,TODO,,5,TODO,C2211,Account_C22_1_11,million,inputs,
41,222,TODO,TODO,,3,TODO,C22,Account_C22_2,million,inputs,
42,2221,TODO,TODO,,4,TODO,C222,Account_C22_2_1,million,inputs,
43,2222,TODO,TODO,,4,TODO,C222,Account_C22_2_2,million,inputs,
44,2223,TODO,TODO,,4,TODO,C222,Account_C22_2_3,million,inputs,
45,223,TODO,TODO,,3,TODO,C22,Account_C22_3,million,inputs,
46,224,TODO,TODO,,3,TODO,C22,Account_C22_4,million,inputs,
47,225,TODO,TODO,,3,TODO,C22,Account_C22_5,million,inputs,
48,226,TODO,TODO,,3,TODO,C22,Account_C22_6,million,inputs,
49,227,TODO,TODO,,3,TODO,C22,Account_C22_7,million,inputs,
50,23,TODO,TODO,,2,TODO,C2,Account_C23,million,inputs,
51,24,TODO,TODO,,2,TODO,C2,Account_C24,million,inputs,
52,25,TODO,TODO,,2,TODO,C2,Account_C25,million,inputs,
53,26,TODO,TODO,,2,TODO,C2,Account_C26,million,inputs,
54,27,TODO,TODO,,2,TODO,C2,Account_C27,million,inputs,
55,28,TODO,TODO,,2,TODO,C2,Account_C28,million,inputs,
56,29,TODO,TODO,,2,TODO,C2,Account_C29,million,inputs,
