ind,code_of_account,account_description,total_cost (M$),total_cost ($),level,prn,supaccount,alg_name,fun_unit,variables,algno
1,c1,Pre-Construction_Costs,24.18611754,$24186117.540000003,0,0.0046878318104200244,,acc1,million,,
2,c11,Land_and_Land_Rights,1.18611754,$1186117.5399999998,1,0.00022989715177366762,1,acc11,million,,
3,c12,Site_Permits,10.0,$10000000.0,1,0.0019382324602810245,1,acc12,million,,
4,c13,Plant_Licensing,0.0,$0.0,1,0.0,1,acc13,million,,
5,c14,Plant_Permits,5.0,$5000000.0,1,0.0009691162301405122,1,acc14,million,,
6,c15,Plant_Studies,5.0,$5000000.0,1,0.0009691162301405122,1,acc15,million,,
7,c16,Plant_Reports,2.0,$2000000.0,1,0.00038764649205620487,1,acc16,million,,
8,c17,Other_Pre-Construction_Costs,1.0,$1000000.0,1,0.00019382324602810244,1,acc17,million,,
9,c19,Contingency_on_Pre-Construction_Costs,0.0,$0.0,1,0.0,1,acc19,million,,
10,c2,Capitalized_Direct_Costs_(CDC),1298.175963,$1298175963.0,0,0.2516166790643178,,acc2,million,,
11,c21,Structures_and_Improvements,112.9457941,$112945794.1,1,0.021891520437683703,2,acc21,million,,
12,c211,Site_Preparation/Yard_Work,42.37641442,$42376414.42,2,0.008213534197916489,21,acc211,million,,
13,c212,Heat_Island_Building,29.53699334,$29536993.34,2,0.005724955927069243,21,acc212,million,,
14,c213,Turbine_Generator_Building,8.538531265,$8538531.264999999,2,0.0016549658460947396,21,acc213,million,,
15,c214,Heat_Exchanger_Building,5.976971885,$5976971.885,2,0.0011584760921694063,21,acc214,million,,
16,c215,Power_Supply_and_Energy_Storage,1.707706253,$1707706.253,2,0.00033099316921894796,21,acc215,million,,
17,c216,Reactor_Auxiliaries,0.8538531265,$853853.1265,2,0.00016549658460947398,21,acc216,million,,
18,c217,Hot_Cell,14.76849667,$14768496.67,2,0.0028624779635346214,21,acc217,million,,
19,c218,Reactor_Services,2.956861753,$2956861.753,2,0.0005731085430228053,21,acc218,million,,
20,c219,Service_Water,0.0474362848,$47436.2848,2,9.194254699449537e-06,21,acc219,million,,
21,c211,Fuel_Storage,0.1739330443,$173933.0443,2,3.3712267237775744e-05,,acc211,million,,
22,c2111,Control_Room,0.1423088544,$142308.85439999998,2,2.7582764098348607e-05,211,acc2111,million,,
23,c2112,Onsite_AC_Power,0.1264967595,$126496.7595,2,2.4518012538326203e-05,211,acc2112,million,,
24,c2113,Administration,0.6957321771,$695732.1771,2,0.00013484906893172064,211,acc2113,million,,
