ind,var_name,var_description,var_value,var_unit,var_alg,var_need,algs_using_var,v_linked
1,self,,,TODO,TODO,TODO,__init__,
2,self,,,TODO,TODO,TODO,add_account,
3,account_number,,,TODO,TODO,TODO,add_account,
4,account_name,,,TODO,TODO,TODO,add_account,
5,cost,,,TODO,TODO,TODO,add_account,
6,application,,heat,TODO,TODO,TODO,generate_report,
7,P_f,,0,TODO,TODO,TODO,generate_report,
8,P_f_L,,0,TODO,TODO,TODO,generate_report,
9,P_NBI,,0,TODO,TODO,TODO,generate_report,
10,P_ECH,,0,TODO,TODO,TODO,generate_report,
11,P_ICRH,,0,TODO,TODO,TODO,generate_report,
12,construction_time,,6,TODO,TODO,TODO,generate_report,
13,NOAK,,False,TODO,TODO,TODO,generate_report,
14,n_unit,,False,TODO,TODO,TODO,generate_report,
15,lifetime,,30,TODO,TODO,TODO,generate_report,
16,replacement,,10,TODO,TODO,TODO,generate_report,
17,availability,,0.9,TODO,TODO,TODO,generate_report,
18,discount,,0.0245,TODO,TODO,TODO,generate_report,
19,cost_file,,woodruff-data.csv,TODO,TODO,TODO,generate_report,
20,method,,new,TODO,TODO,TODO,generate_report,
21,include_tax,,False,TODO,TODO,TODO,generate_report,
22,include_decommissioning,,False,TODO,TODO,TODO,generate_report,
23,include_licensing,,False,TODO,TODO,TODO,generate_report,
24,include_contingency,,False,TODO,TODO,TODO,generate_report,
25,save,,True,TODO,TODO,TODO,generate_report,
26,verbose,,True,TODO,TODO,TODO,generate_report,
27,vacuum_gap_CC,,0.01,TODO,TODO,TODO,generate_report,
28,first_wall_material,,W,TODO,TODO,TODO,generate_report,
29,first_wall_thickness,,0.01,TODO,TODO,TODO,generate_report,
30,vacuum_vessel_material,,SS316,TODO,TODO,TODO,generate_report,
31,vacuum_vessel_thickness,,0.01,TODO,TODO,TODO,generate_report,
32,multiplier_material,,Pb,TODO,TODO,TODO,generate_report,
33,multiplier_thickness,,0.01,TODO,TODO,TODO,generate_report,
34,blanket_coolant_material,,Natural PbLi,TODO,TODO,TODO,generate_report,
35,blanket_thickness,,1.0,TODO,TODO,TODO,generate_report,
36,blanket_coolant_fraction,,0.9,TODO,TODO,TODO,generate_report,
37,blanket_structural_material,,SS316,TODO,TODO,TODO,generate_report,
38,blanket_structural_fraction,,0.1,TODO,TODO,TODO,generate_report,
39,outer_vessel_thickness,,0.01,TODO,TODO,TODO,generate_report,
40,p,,,TODO,TODO,TODO,learning_credit,
41,n,,,TODO,TODO,TODO,learning_credit,
42,inputs,,,TODO,TODO,TODO,Account_C20,
43,inputs,,,TODO,TODO,TODO,Account_C21,
44,inputs,,,TODO,TODO,TODO,Account_C21_1,
45,inputs,,,TODO,TODO,TODO,Account_C21_2,
46,inputs,,,TODO,TODO,TODO,Account_C21_3,
47,inputs,,,TODO,TODO,TODO,Account_C21_4,
48,inputs,,,TODO,TODO,TODO,Account_C21_5,
49,inputs,,,TODO,TODO,TODO,Account_C21_6,
50,inputs,,,TODO,TODO,TODO,Account_C21_7,
51,inputs,,,TODO,TODO,TODO,Account_C21_8,
52,inputs,,,TODO,TODO,TODO,Account_C21_9,
53,inputs,,,TODO,TODO,TODO,Account_C21_10,
54,inputs,,,TODO,TODO,TODO,Account_C21_11,
55,inputs,,,TODO,TODO,TODO,Account_C21_12,
56,inputs,,,TODO,TODO,TODO,Account_C21_13,
57,inputs,,,TODO,TODO,TODO,Account_C21_14,
58,inputs,,,TODO,TODO,TODO,Account_C21_15,
59,inputs,,,TODO,TODO,TODO,Account_C21_16,
60,inputs,,,TODO,TODO,TODO,Account_C21_17,
61,inputs,,,TODO,TODO,TODO,Account_C22,
62,inputs,,,TODO,TODO,TODO,Account_C22_1,
63,inputs,,,TODO,TODO,TODO,Account_C22_1_1,
64,inputs,,,TODO,TODO,TODO,Account_C22_1_2,
65,inputs,,,TODO,TODO,TODO,Account_C22_1_3,
66,inputs,,,TODO,TODO,TODO,Account_C22_1_3_1,
67,inputs,,,TODO,TODO,TODO,Account_C22_1_3_2,
68,inputs,,,TODO,TODO,TODO,Account_C22_1_3_3,
69,inputs,,,TODO,TODO,TODO,Account_C22_1_4,
70,inputs,,,TODO,TODO,TODO,Account_C22_1_4_1,
71,inputs,,,TODO,TODO,TODO,Account_C22_1_4_2,
72,inputs,,,TODO,TODO,TODO,Account_C22_1_4_3,
73,inputs,,,TODO,TODO,TODO,Account_C22_1_5,
74,inputs,,,TODO,TODO,TODO,Account_C22_1_6,
75,inputs,,,TODO,TODO,TODO,Account_C22_1_6_2,
76,inputs,,,TODO,TODO,TODO,Account_C22_1_6_3,
77,inputs,,,TODO,TODO,TODO,Account_C22_1_6_4,
78,inputs,,,TODO,TODO,TODO,Account_C22_1_7,
79,inputs,,,TODO,TODO,TODO,Account_C22_1_8,
80,inputs,,,TODO,TODO,TODO,Account_C22_1_9,
81,inputs,,,TODO,TODO,TODO,Account_C22_1_11,
82,inputs,,,TODO,TODO,TODO,Account_C22_2,
83,inputs,,,TODO,TODO,TODO,Account_C22_2_1,
84,inputs,,,TODO,TODO,TODO,Account_C22_2_2,
85,inputs,,,TODO,TODO,TODO,Account_C22_2_3,
86,inputs,,,TODO,TODO,TODO,Account_C22_3,
87,inputs,,,TODO,TODO,TODO,Account_C22_4,
88,inputs,,,TODO,TODO,TODO,Account_C22_5,
89,inputs,,,TODO,TODO,TODO,Account_C22_6,
90,inputs,,,TODO,TODO,TODO,Account_C22_7,
91,inputs,,,TODO,TODO,TODO,Account_C23,
92,inputs,,,TODO,TODO,TODO,Account_C24,
93,inputs,,,TODO,TODO,TODO,Account_C25,
94,inputs,,,TODO,TODO,TODO,Account_C26,
95,inputs,,,TODO,TODO,TODO,Account_C27,
96,inputs,,,TODO,TODO,TODO,Account_C28,
97,inputs,,,TODO,TODO,TODO,Account_C29,
