ind,var_name,var_description,var_value,var_unit,var_alg,var_need,algs_using_var,v_linked
1,E_DT,str,,TODO,,TODO,TODO,
2,E_alpha,str,,TODO,,TODO,TODO,
3,E_n,str,,TODO,"E_DT, E_alpha",TODO,TODO,
4,m_T,str,,TODO,,TODO,TODO,
5,m_D,str,,TODO,,TODO,TODO,
6,m_6Li,str,,TODO,,TODO,TODO,
7,Wh_to_BTU,float,3.41214,TODO,,TODO,TODO,
8,self,,,TODO,TODO,TODO,__init__,
9,self,,,TODO,TODO,TODO,add_account,
10,account_number,,,TODO,TODO,TODO,add_account,
11,account_name,,,TODO,TODO,TODO,add_account,
12,cost,,,TODO,TODO,TODO,add_account,
13,indentation,int,0,TODO,,TODO,TODO,
14,indentation,str,,TODO,account_number,TODO,TODO,
15,indentation,int,0,TODO,,TODO,TODO,
16,indented_name,str,,TODO,"account_name, account_number, indentation",TODO,TODO,
17,application,,heat,TODO,TODO,TODO,generate_report,
18,P_f,,0,TODO,TODO,TODO,generate_report,
19,P_f_L,,0,TODO,TODO,TODO,generate_report,
20,P_NBI,,0,TODO,TODO,TODO,generate_report,
21,P_ECH,,0,TODO,TODO,TODO,generate_report,
22,P_ICRH,,0,TODO,TODO,TODO,generate_report,
23,construction_time,,6,TODO,TODO,TODO,generate_report,
24,NOAK,,False,TODO,TODO,TODO,generate_report,
25,n_unit,,False,TODO,TODO,TODO,generate_report,
26,lifetime,,30,TODO,TODO,TODO,generate_report,
27,replacement,,10,TODO,TODO,TODO,generate_report,
28,availability,,0.9,TODO,TODO,TODO,generate_report,
29,discount,,0.0245,TODO,TODO,TODO,generate_report,
30,cost_file,,woodruff-data.csv,TODO,TODO,TODO,generate_report,
31,method,,new,TODO,TODO,TODO,generate_report,
32,include_tax,,False,TODO,TODO,TODO,generate_report,
33,include_decommissioning,,False,TODO,TODO,TODO,generate_report,
34,include_licensing,,False,TODO,TODO,TODO,generate_report,
35,include_contingency,,False,TODO,TODO,TODO,generate_report,
36,save,,True,TODO,TODO,TODO,generate_report,
37,verbose,,True,TODO,TODO,TODO,generate_report,
38,vacuum_gap_CC,,0.01,TODO,TODO,TODO,generate_report,
39,first_wall_material,,W,TODO,TODO,TODO,generate_report,
40,first_wall_thickness,,0.01,TODO,TODO,TODO,generate_report,
41,vacuum_vessel_material,,SS316,TODO,TODO,TODO,generate_report,
42,vacuum_vessel_thickness,,0.01,TODO,TODO,TODO,generate_report,
43,multiplier_material,,Pb,TODO,TODO,TODO,generate_report,
44,multiplier_thickness,,0.01,TODO,TODO,TODO,generate_report,
45,blanket_coolant_material,,Natural PbLi,TODO,TODO,TODO,generate_report,
46,blanket_thickness,,1.0,TODO,TODO,TODO,generate_report,
47,blanket_coolant_fraction,,0.9,TODO,TODO,TODO,generate_report,
48,blanket_structural_material,,SS316,TODO,TODO,TODO,generate_report,
49,blanket_structural_fraction,,0.1,TODO,TODO,TODO,generate_report,
50,outer_vessel_thickness,,0.01,TODO,TODO,TODO,generate_report,
51,inputs,str,,TODO,"NOAK, P_ECH, P_ICRH, P_NBI, P_f, P_f_L, application, availability, blanket_coolant_fraction, blanket_coolant_material, blanket_structural_fraction, blanket_structural_material, blanket_thickness, construction_time, cost_file, discount, first_wall_material, first_wall_thickness, generate_inputs, include_contingency, include_decommissioning, include_licensing, include_tax, kwargs, lifetime, method, multiplier_material, multiplier_thickness, n_unit, outer_vessel_thickness, replacement, save, vacuum_gap_CC, vacuum_vessel_material, vacuum_vessel_thickness",TODO,TODO,
52,cost_data,str,,TODO,cost_account,TODO,TODO,
53,p,,,TODO,TODO,TODO,learning_credit,
54,n,,,TODO,TODO,TODO,learning_credit,
55,inputs,,,TODO,TODO,TODO,Account_C20,
56,inputs,,,TODO,TODO,TODO,Account_C21,
57,inputs,,,TODO,TODO,TODO,Account_C21_1,
58,inputs,,,TODO,TODO,TODO,Account_C21_2,
59,inputs,,,TODO,TODO,TODO,Account_C21_3,
60,inputs,,,TODO,TODO,TODO,Account_C21_4,
61,inputs,,,TODO,TODO,TODO,Account_C21_5,
62,inputs,,,TODO,TODO,TODO,Account_C21_6,
63,inputs,,,TODO,TODO,TODO,Account_C21_7,
64,inputs,,,TODO,TODO,TODO,Account_C21_8,
65,inputs,,,TODO,TODO,TODO,Account_C21_9,
66,inputs,,,TODO,TODO,TODO,Account_C21_10,
67,inputs,,,TODO,TODO,TODO,Account_C21_11,
68,inputs,,,TODO,TODO,TODO,Account_C21_12,
69,inputs,,,TODO,TODO,TODO,Account_C21_13,
70,inputs,,,TODO,TODO,TODO,Account_C21_14,
71,inputs,,,TODO,TODO,TODO,Account_C21_15,
72,inputs,,,TODO,TODO,TODO,Account_C21_16,
73,inputs,,,TODO,TODO,TODO,Account_C21_17,
74,inputs,,,TODO,TODO,TODO,Account_C22,
75,inputs,,,TODO,TODO,TODO,Account_C22_1,
76,inputs,,,TODO,TODO,TODO,Account_C22_1_1,
77,L_magnet_to_magnet,str,,TODO,inputs,TODO,TODO,
78,L_cylinder,str,,TODO,L_magnet_to_magnet,TODO,TODO,
79,expander_cell_cost_result,str,,TODO,"expander_cell_cost, inputs",TODO,TODO,
80,end_plug_cylindrical_part,str,,TODO,"L_cylinder, central_cell, inputs",TODO,TODO,
81,end_plug_cylindrical_part_cost,str,,TODO,end_plug_cylindrical_part,TODO,TODO,
82,central_cell_cylindrical_part,str,,TODO,"central_cell, inputs",TODO,TODO,
83,central_cell_cylindrical_part_cost,str,,TODO,central_cell_cylindrical_part,TODO,TODO,
84,total_cost,str,,TODO,"central_cell_cylindrical_part_cost, end_plug_cylindrical_part_cost, expander_cell_cost_result",TODO,TODO,
85,inputs,,,TODO,TODO,TODO,Account_C22_1_2,
86,inputs,,,TODO,TODO,TODO,Account_C22_1_3,
87,inputs,,,TODO,TODO,TODO,Account_C22_1_3_1,
88,inputs,,,TODO,TODO,TODO,Account_C22_1_3_2,
89,inputs,,,TODO,TODO,TODO,Account_C22_1_3_3,
90,inputs,,,TODO,TODO,TODO,Account_C22_1_4,
91,inputs,,,TODO,TODO,TODO,Account_C22_1_4_1,
92,cost_factor,str,,TODO,"inputs, np",TODO,TODO,
93,inputs,,,TODO,TODO,TODO,Account_C22_1_4_2,
94,cost_factor,str,,TODO,"inputs, np",TODO,TODO,
95,inputs,,,TODO,TODO,TODO,Account_C22_1_4_3,
96,cost_factor,str,,TODO,"inputs, np",TODO,TODO,
97,inputs,,,TODO,TODO,TODO,Account_C22_1_5,
98,inputs,,,TODO,TODO,TODO,Account_C22_1_6,
99,inputs,,,TODO,TODO,TODO,Account_C22_1_6_2,
100,inputs,,,TODO,TODO,TODO,Account_C22_1_6_3,
101,cost_pump,int,40000,TODO,,TODO,TODO,
102,vpump_cap,str,,TODO,,TODO,TODO,
103,no_vpumps,str,,TODO,"inputs, vpump_cap",TODO,TODO,
104,inputs,,,TODO,TODO,TODO,Account_C22_1_6_4,
105,inputs,,,TODO,TODO,TODO,Account_C22_1_7,
106,inputs,,,TODO,TODO,TODO,Account_C22_1_8,
107,inputs,,,TODO,TODO,TODO,Account_C22_1_9,
108,cost_factor,str,,TODO,"inputs, np",TODO,TODO,
109,inputs,,,TODO,TODO,TODO,Account_C22_1_11,
110,axis_t,str,,TODO,"inputs, np",TODO,TODO,
111,axis_ir,str,,TODO,axis_t,TODO,TODO,
112,lr,str,,TODO,,TODO,TODO,
113,constructionworker,str,,TODO,axis_ir,TODO,TODO,
114,C_22_1_11_in,str,,TODO,"inputs, lr",TODO,TODO,
115,C_22_1_11_1_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
116,C_22_1_11_2_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
117,C_22_1_11_3_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
118,C_22_1_11_4_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
119,C_22_1_11_5_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
120,C_22_1_11_6_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
121,C_22_1_11_7_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
122,C_22_1_11_8_in,int,0,TODO,,TODO,TODO,
123,C_22_1_11_9_in,str,,TODO,"constructionworker, inputs, lr",TODO,TODO,
124,C_22_1_11_10_in,int,0,TODO,,TODO,TODO,
125,C220111,str,,TODO,"C_22_1_11_10_in, C_22_1_11_1_in, C_22_1_11_2_in, C_22_1_11_3_in, C_22_1_11_4_in, C_22_1_11_5_in, C_22_1_11_6_in, C_22_1_11_7_in, C_22_1_11_8_in, C_22_1_11_9_in, C_22_1_11_in",TODO,TODO,
126,cost_factor,str,,TODO,"inputs, np",TODO,TODO,
127,inputs,,,TODO,TODO,TODO,Account_C22_2,
128,inputs,,,TODO,TODO,TODO,Account_C22_2_1,
129,inputs,,,TODO,TODO,TODO,Account_C22_2_2,
130,inputs,,,TODO,TODO,TODO,Account_C22_2_3,
131,inputs,,,TODO,TODO,TODO,Account_C22_3,
