ind| var_name| var_value| var_unit
1|a|2.66666666666666|m
2|acptmax|23.3333333333333|kA
3|admvol|100000|m3
4|afuel|2.5|amu
5|ai|16658822.3528023|A
6|aintmass|4.29E+06|kg
7|akappa|1.85|N/A
8|anncap|990.632029214633|M$
9|anncdr|0|M$
10|anncp|0|M$
11|anndecom|23.7035196774666|M$
12|anndiv|0|M$
13|annfuel|1.15241834904476|M$
14|annfwbl|0|M$
15|annoam|43.0000014579319|M$
16|annwst|4.55430122968418|M$
17|areaoh|9.06719721835184|m2
18|awpoh|4.12E+00|m2
19|b0|5.27129690536332|T
20|bktlife|6.07624555157747|years
21|blmass|2967570.48227183|kg
22|capcost|10254.989950462|M$
23|cconfix|80|$/m
24|cconshpf|70|$/m
25|cconshtf|75|$/m
26|cdcost| 241.04683766042547|M$
27|cdirt|5.52E+03|M$
28|cdriv0|154.3|M$
29|cdriv1|163.199999999999|M$
30|cdriv2|244.9|M$
31|cdriv3|1.463|($/J wall plug)
32|cdrlife|6.07624555157747|years
33|cfactr|0.8|N/A
34|cfind_0|0.243999999999999|N/A
35|cfind_1|0.243999999999999|N/A
36|cfind_2|0.243999999999999|N/A
37|cfind_3|0.289999999999999|N/A
38|cland|19.1999999999999|M$
39|clgsmass|1.30E+06|kg
40|cmlsa||N/A
41|coecdr|0|M$
42|coecp|0|M$
43|coediv|0|M$
44|coefuel|0.559519073955383|M$
45|coefwbl|0|M$
46|coewst|2.21119214967288|M$
47|coilmass|34970608.252634|kg
48|convol|60000|m3
49|coolmass|1180.19434597029|kg
50|coolwh|1|N/A
51|cowner|0.149999999999999|N/A
52|cplife|0|years
53|cpstcst|0|M$
54|cpttf|8.71E+04|A
55|crfcdr|0.190816270499524|N/A
56|crfcp|0|N/A
57|crfdiv|0.272930473716331|N/A
58|crffwbl|0.190816270499524|N/A
59|crypmw|4.42E+01|MW
60|cryvol|1.65E+04|m3
61|csi|16|M$
62|cturbb|38|M$
63|d_0|1.01E-01|m
64|d_1|2.01E-01|m
65|d_2|4.87E-01|m
66|d_3|1.00E-06|m
