Account Number,Level,Account Name,Indented Name,Cost,Cost Fraction
10,0,Pre-Construction Costs,10 Pre-Construction Costs,24.18611754,0.01356498285
11,1,Land and Land Rights,    11 Land and Land Rights,1.18611754,0.000665243773
12,1,Site Permits,    12 Site Permits,10,0.005608582206
13,1,Plant Licensing,    13 Plant Licensing,0,0
14,1,Plant Permits,    14 Plant Permits,5,0.002804291103
15,1,Plant Studies,    15 Plant Studies,5,0.002804291103
16,1,Plant Reports,    16 Plant Reports,2,0.001121716441
17,1,Other Pre-Construction Costs,    17 Other Pre-Construction Costs,1,0.0005608582206
19,1,Contingency on Pre-Construction Costs,    19 Contingency on Pre-Construction Costs,0,0
20,0,Capitalized Direct Costs (CDC),20 Capitalized Direct Costs (CDC),1298.175963,0.7280926606
21,1,Structures and Improvements,    21 Structures and Improvements,112.9457941,0.06334657711
21.1,2,Site Preparation/Yard Work,        21.1 Site Preparation/Yard Work,42.37641442,0.02376716039
21.2,2,Heat Island Building,        21.2 Heat Island Building,29.53699334,0.01656606553
21.3,2,Turbine Generator Building,        21.3 Turbine Generator Building,8.538531265,0.004788905452
21.4,2,Heat Exchanger Building,        21.4 Heat Exchanger Building,5.976971885,0.003352233816
21.5,2,Power Supply and Energy Storage,        21.5 Power Supply and Energy Storage,1.707706253,0.0009577810903
21.6,2,Reactor Auxiliaries,        21.6 Reactor Auxiliaries,0.8538531265,0.0004788905452
21.7,2,Hot Cell,        21.7 Hot Cell,14.76849667,0.008283032763
21.8,2,Reactor Services,        21.8 Reactor Services,2.956861753,0.001658380221
21.9,2,Service Water,        21.9 Service Water,0.0474362848,0.00002660503029
21.10,2,Fuel Storage,        21.10 Fuel Storage,0.1739330443,0.00009755177772
21.11,2,Control Room,        21.11 Control Room,0.1423088544,0.00007981509086
21.12,2,Onsite AC Power,        21.12 Onsite AC Power,0.1264967595,0.00007094674743
21.13,2,Administration,        21.13 Administration,0.6957321771,0.0003902071109
21.14,2,Site Services,        21.14 Site Services,0.252993519,0.0001418934949
21.15,2,Cryogenics,        21.15 Cryogenics,0.3794902784,0.0002128402423
21.16,2,Security,        21.16 Security,0.1423088544,0.00007981509086
21.17,2,Ventilation Stack,        21.17 Ventilation Stack,4.269265632,0.002394452726
22,1,Heat Island Plant Equipment,    22 Heat Island Plant Equipment,1111.99892,0.6236737356
22.1,2,Heat Island Components,        22.1 Heat Island Components,901.9675668,0.5058759246
22.1.1,3,First Wall and Blanket,            22.1.1 First Wall and Blanket,43.19343421,0.02422539265
22.1.2,3,Magnet Radiation Shield,            22.1.2 Magnet Radiation Shield,94.73695574,0.05313400042
22.1.3,3,Coils,            22.1.3 Coils,272.0399768,0.1525758573
22.1.3.1,4,HF Coils,                22.1.3.1 HF Coils,116.4,0.06528389688
22.1.3.2,4,LF Coils,                22.1.3.2 LF Coils,12.50524,0.007013666655
22.1.3.3,4,CC Coils,                22.1.3.3 CC Coils,143.1347368,0.08027829381
